date,game_id,home,away,side,team,n_sims,player_id,player_name,split_type,split,n,pts_p10,pts_p50,pts_p90,reb_p10,reb_p50,reb_p90,ast_p10,ast_p50,ast_p90,threes_p10,threes_p50,threes_p90,pra_p10,pra_p50,pra_p90
2026-05-14,,POR,NYL,away,NYL,2000,4337216,Han Xu,scenario,medium,335,4.0,10.0,16.0,1.0,3.0,6.0,0.0,1.0,3.0,0.0,1.0,2.0,9.0,15.0,21.600000000000023
2026-05-14,,POR,NYL,away,NYL,2000,4337216,Han Xu,scenario,blowout,1430,5.0,11.0,17.0,1.0,3.0,6.0,0.0,2.0,4.0,0.0,1.0,2.0,10.0,16.0,23.0
2026-05-14,,POR,NYL,away,NYL,2000,4066533,Sabrina Ionescu,scenario,close,235,4.0,9.0,15.0,2.0,5.0,8.0,2.0,4.0,7.0,0.0,1.0,3.0,12.0,18.0,25.0
2026-05-14,,POR,NYL,away,NYL,2000,4066533,Sabrina Ionescu,scenario,medium,335,3.0,8.0,16.0,2.0,5.0,8.0,2.0,5.0,7.0,0.0,1.0,3.0,11.0,18.0,26.0
2026-05-14,,POR,NYL,away,NYL,2000,4066533,Sabrina Ionescu,scenario,blowout,1430,5.0,10.0,16.100000000000136,2.0,5.0,8.0,2.0,4.0,8.0,0.0,1.0,3.0,13.0,20.0,27.0
2026-05-14,,POR,NYL,away,NYL,2000,4038379,Marine Johannes,scenario,close,235,2.0,7.0,15.0,1.0,3.0,6.0,1.0,2.0,4.0,0.0,1.0,2.0,7.0,12.0,21.599999999999994
2026-05-14,,POR,NYL,away,NYL,2000,4038379,Marine Johannes,scenario,medium,335,3.0,8.0,15.0,1.0,3.0,6.0,0.0,2.0,4.0,0.0,1.0,3.0,8.0,14.0,21.0
2026-05-14,,POR,NYL,away,NYL,2000,4038379,Marine Johannes,scenario,blowout,1430,4.0,9.0,17.0,2.0,4.0,7.0,1.0,2.0,5.0,0.0,1.0,3.0,9.0,16.0,24.0
2026-05-14,,POR,NYL,away,NYL,2000,4281929,Satou Sabally,scenario,close,235,2.0,7.0,12.599999999999994,1.0,2.0,5.0,0.0,1.0,2.0,0.0,1.0,2.0,5.0,10.0,16.0
2026-05-14,,POR,NYL,away,NYL,2000,4281929,Satou Sabally,scenario,medium,335,2.0,6.0,12.0,1.0,3.0,5.0,0.0,0.0,2.0,0.0,1.0,2.0,5.0,10.0,16.600000000000023
2026-05-14,,POR,NYL,away,NYL,2000,4281929,Satou Sabally,scenario,blowout,1430,3.0,8.0,15.0,1.0,3.0,6.0,0.0,1.0,2.0,0.0,1.0,2.0,6.0,12.0,20.0
2026-05-14,,POR,NYL,away,NYL,2000,2327695,Rebekah Gardner,scenario,close,235,2.0,7.0,13.0,2.0,4.0,7.0,0.0,2.0,3.0,0.0,1.0,2.0,9.0,13.0,20.0
2026-05-14,,POR,NYL,away,NYL,2000,2327695,Rebekah Gardner,scenario,medium,335,2.0,7.0,13.0,2.0,4.0,7.0,0.0,1.0,3.0,0.0,1.0,2.0,8.0,13.0,21.0
