date,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,edge,ev,bookmaker,bookmaker_title,commence_time
2025-10-14,1630595.0,Cade Cunningham,DET,ast,OVER,11.5,2000,0.047619047619047616,0.10146667700481404,0.05384762938576643,1.130800217101095,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,1626164.0,Devin Booker,PHX,ast,OVER,3.5,-625,0.8620689655172413,0.9133212738237584,0.05125230830651706,0.059452677635559725,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1629627.0,Zion Williamson,NOP,ast,OVER,9.5,1800,0.05263157894736842,0.10083796663849054,0.04820638769112212,0.9159213661313202,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1642263.0,Reed Sheppard,HOU,ast,OVER,5.5,550,0.15384615384615385,0.19898545256841782,0.045139298722263965,0.29340544169471583,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1641708.0,Amen Thompson,HOU,ast,OVER,7.5,550,0.15384615384615385,0.19044235241190144,0.036596198565747584,0.23787529067735935,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,201939.0,Stephen Curry,GSW,ast,OVER,9.5,2500,0.038461538461538464,0.07028109296009033,0.031819554498551866,0.8273084169623486,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1630559.0,Austin Reaves,LAL,ast,OVER,5.5,190,0.3448275862068966,0.3690602467637234,0.024232660556826824,0.07027471561479781,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,203507.0,Giannis Antetokounmpo,MIL,pts,OVER,24.5,385,0.20618556701030927,0.7950129874272096,0.5888274204169004,2.855812989021967,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1628983.0,Shai Gilgeous-Alexander,OKC,pts,OVER,24.5,475,0.17391304347826086,0.7557964006187347,0.5818833571404738,3.3458293035577245,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1628983.0,Shai Gilgeous-Alexander,OKC,pts,OVER,19.5,150,0.4,0.9130076525593038,0.5130076525593038,1.2825191313982596,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,203507.0,Giannis Antetokounmpo,MIL,pts,OVER,19.5,125,0.4444444444444444,0.9319675169936802,0.48752307254923577,1.0969269132357806,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,203507.0,Giannis Antetokounmpo,MIL,pts,OVER,29.5,950,0.09523809523809523,0.5624850226631188,0.4672469274250236,4.906092737962748,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1630595.0,Cade Cunningham,DET,pts,OVER,24.5,230,0.30303030303030304,0.7525802950022646,0.4495499919719616,1.483514973507473,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,1628983.0,Shai Gilgeous-Alexander,OKC,pts,OVER,29.5,1100,0.08333333333333333,0.5104422160290909,0.4271088826957576,5.125306592349091,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1631101.0,Shaedon Sharpe,POR,pts,OVER,19.5,235,0.29850746268656714,0.7167704758110311,0.418263013124464,1.4011810939669544,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1630598.0,Aaron Wiggins,OKC,pts,OVER,14.5,260,0.2777777777777778,0.6600194873281429,0.38224170955036507,1.3760701543813143,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1630595.0,Cade Cunningham,DET,pts,OVER,19.5,-120,0.5454545454545454,0.911379472684229,0.3659249272296836,0.6708623665877532,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,1629627.0,Zion Williamson,NOP,pts,OVER,19.5,155,0.39215686274509803,0.7549976021652259,0.3628407394201279,0.9252438855213262,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1630581.0,Josh Giddey,CHI,pts,OVER,19.5,400,0.2,0.5610698473243169,0.36106984732431685,1.8053492366215842,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,1630595.0,Cade Cunningham,DET,pts,OVER,29.5,550,0.15384615384615385,0.5063689748059781,0.35252282095982423,2.2913983362388572,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,1630581.0,Josh Giddey,CHI,pts,OVER,14.5,125,0.4444444444444444,0.7939913773044956,0.34954693286005123,0.7864805989351152,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,1631101.0,Shaedon Sharpe,POR,pts,OVER,14.5,-125,0.5555555555555556,0.8925013673849846,0.33694581182942906,0.6065024612929724,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1631101.0,Shaedon Sharpe,POR,pts,OVER,24.5,625,0.13793103448275862,0.46279588930318427,0.32486485482042565,2.355270197448086,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1629645.0,Kevin Porter Jr.,MIL,pts,OVER,14.5,215,0.31746031746031744,0.6343035350632216,0.3168432176029041,0.998056135449148,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1627936.0,Alex Caruso,OKC,pts,OVER,9.5,300,0.25,0.5643993731001037,0.3143993731001037,1.2575974924004147,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1629627.0,Zion Williamson,NOP,pts,OVER,24.5,400,0.2,0.509427935451026,0.30942793545102604,1.5471396772551302,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,201939.0,Stephen Curry,GSW,pts,OVER,19.5,125,0.4444444444444444,0.749939365843415,0.3054949213989706,0.6873635731476838,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1630598.0,Aaron Wiggins,OKC,pts,OVER,19.5,950,0.09523809523809523,0.3996897023279906,0.3044516070898954,3.1967418744439016,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1628983.0,Shai Gilgeous-Alexander,OKC,pts,OVER,14.5,-215,0.6825396825396826,0.978626713233411,0.29608703069372844,0.43380192869081147,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1641764.0,Brandin Podziemski,GSW,pts,OVER,14.5,180,0.35714285714285715,0.6470280397149417,0.28988518257208457,0.8116785112018368,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,203507.0,Giannis Antetokounmpo,MIL,pts,OVER,14.5,-230,0.696969696969697,0.9845077876013737,0.2875380906316767,0.41255465177588396,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1629652.0,Luguentz Dort,OKC,pts,OVER,9.5,245,0.2898550724637681,0.5685741103173428,0.2787190378535747,0.9615806805948329,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,201939.0,Stephen Curry,GSW,pts,OVER,24.5,340,0.22727272727272727,0.5030448129362355,0.2757720856635082,1.213397176919436,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1629028.0,Deandre Ayton,POR,pts,OVER,14.5,280,0.2631578947368421,0.5334068114225632,0.2702489166857211,1.0269458834057401,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,203507.0,Giannis Antetokounmpo,MIL,pts,OVER,34.5,2200,0.043478260869565216,0.30523804338257343,0.26175978251300824,6.020474997799189,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1629645.0,Kevin Porter Jr.,MIL,pts,OVER,19.5,750,0.11764705882352941,0.3731986437736964,0.25555158495016694,2.1721884720764195,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1629627.0,Zion Williamson,NOP,pts,OVER,14.5,-200,0.6666666666666666,0.9126042890046253,0.24593762233795868,0.36890643350693797,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,203932.0,Aaron Gordon,DEN,pts,OVER,14.5,155,0.39215686274509803,0.6330040241201111,0.2408471613750131,0.6141602615062834,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,1641764.0,Brandin Podziemski,GSW,pts,OVER,19.5,575,0.14814814814814814,0.38615387649311195,0.2380057283449638,1.6065386663285057,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1641709.0,Ausar Thompson,DET,pts,OVER,14.5,475,0.17391304347826086,0.4118907257637533,0.23797768228549243,1.3683716731415814,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,1630598.0,Aaron Wiggins,OKC,pts,OVER,9.5,-165,0.6226415094339622,0.8597469175403203,0.23710540810635805,0.3808056554435447,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1628392.0,Isaiah Hartenstein,OKC,pts,OVER,14.5,900,0.1,0.33327789524932416,0.23327789524932416,2.332778952493242,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1630581.0,Josh Giddey,CHI,pts,OVER,24.5,1200,0.07692307692307693,0.3039810998902861,0.22705802296720917,2.9517542985737193,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,1627750.0,Jamal Murray,DEN,pts,OVER,19.5,215,0.31746031746031744,0.544466127922874,0.22700581046255652,0.715068302957053,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,1628983.0,Shai Gilgeous-Alexander,OKC,pts,OVER,34.5,2800,0.034482758620689655,0.2609273940786814,0.2264446354579917,6.56689442828176,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1627936.0,Alex Caruso,OKC,pts,OVER,14.5,1100,0.08333333333333333,0.3069431452833682,0.22360981195003488,2.6833177434004183,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1628392.0,Isaiah Hartenstein,OKC,pts,OVER,9.5,170,0.37037037037037035,0.5932009800688847,0.22283060969851431,0.6016426461859885,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1629652.0,Luguentz Dort,OKC,pts,OVER,14.5,1000,0.09090909090909091,0.3106807920701671,0.21977170116107617,2.4174887127718376,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1631093.0,Jaden Ivey,DET,pts,OVER,14.5,220,0.3125,0.5288344760754138,0.21633447607541378,0.6922703234413241,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,201939.0,Stephen Curry,GSW,pts,OVER,14.5,-230,0.696969696969697,0.91003419267997,0.21306449571027297,0.3057012329756091,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,203932.0,Aaron Gordon,DEN,pts,OVER,19.5,525,0.16,0.37189199775151704,0.21189199775151704,1.3243249859469817,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,1642274.0,Yves Missi,NOP,pts,OVER,9.5,170,0.37037037037037035,0.5792301035658853,0.20885973319551498,0.5639212796278904,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1641709.0,Ausar Thompson,DET,pts,OVER,9.5,115,0.46511627906976744,0.6714724405559206,0.20635616148615316,0.4436657471952292,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,1642274.0,Yves Missi,NOP,pts,OVER,14.5,750,0.11764705882352941,0.3203421037732076,0.2026950449496782,1.7229078820722643,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1629645.0,Kevin Porter Jr.,MIL,pts,OVER,9.5,-185,0.6491228070175439,0.8437379529369476,0.19461514591940376,0.2998125220920545,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1630595.0,Cade Cunningham,DET,pts,OVER,14.5,-370,0.7872340425531915,0.978098199386594,0.19086415683340252,0.24244906408567352,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,1629028.0,Deandre Ayton,POR,pts,OVER,19.5,950,0.09523809523809523,0.2800038387793089,0.18476574354121367,1.9400403071827435,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1630595.0,Cade Cunningham,DET,pts,OVER,34.5,1200,0.07692307692307693,0.2576196502632747,0.18069657334019779,2.3490554534225714,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,1627750.0,Jamal Murray,DEN,pts,OVER,14.5,-155,0.6078431372549019,0.7818211555000738,0.1739780182451719,0.28622190098399236,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,1630581.0,Josh Giddey,CHI,pts,OVER,9.5,-320,0.7619047619047619,0.9314946483017796,0.16958988639701778,0.22258672589608575,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,1629627.0,Zion Williamson,NOP,pts,OVER,29.5,1000,0.09090909090909091,0.2601016236283338,0.16919253271924287,1.8611178599116716,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1641764.0,Brandin Podziemski,GSW,pts,OVER,9.5,-220,0.6875,0.8517516959951408,0.16425169599514078,0.23891155781111384,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1629028.0,Deandre Ayton,POR,pts,OVER,9.5,-160,0.6153846153846154,0.7735241603544805,0.15813954496986504,0.25697676057603075,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1642270.0,Donovan Clingan,POR,pts,OVER,9.5,180,0.35714285714285715,0.5146775112030475,0.15753465406019035,0.44109703136853307,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1631101.0,Shaedon Sharpe,POR,pts,OVER,29.5,1400,0.06666666666666667,0.22360962083557467,0.15694295416890802,2.35414431253362,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,201939.0,Stephen Curry,GSW,pts,OVER,29.5,875,0.10256410256410256,0.25493684640282743,0.15237274383872487,1.4856342524275676,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1641739.0,Toumani Camara,POR,pts,OVER,14.5,300,0.25,0.40177818922695807,0.15177818922695807,0.6071127569078323,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1631093.0,Jaden Ivey,DET,pts,OVER,19.5,700,0.125,0.2761469427719214,0.15114694277192142,1.2091755421753714,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,1631093.0,Jaden Ivey,DET,pts,OVER,9.5,-165,0.6226415094339622,0.7700486340705677,0.14740712463660544,0.23674477593151777,bovada,Bovada,2025-10-14T23:00:00+00:00
