player,team,plays,ladders,model
Chaz Lanier,DET,[],[],"{'pts': 11.538718, 'reb': 3.9742692, 'ast': 2.1787438, 'threes': 0.8198251, 'stl': 0.9437548, 'blk': 0.4981902, 'tov': 1.6382238, 'pra': 17.69173}"
Chet Holmgren,OKC,[],[],"{'pts': 13.59876, 'reb': 8.169786, 'ast': 0.4051125, 'threes': 2.1006544, 'stl': 0.40713474, 'blk': 0.54329956, 'tov': 2.4610407, 'pra': 22.17366}"
Chris Livingston,CLE,[],[],"{'pts': 12.231311, 'reb': 4.3460684, 'ast': 2.0867047, 'threes': 0.8041504, 'stl': 0.9555948, 'blk': 0.48374224, 'tov': 1.7915338, 'pra': 18.664083}"
Chris Mañon,LAL,[],[],"{'pts': 10.211119, 'reb': 4.155388, 'ast': 2.1146514, 'threes': 0.6536022, 'stl': 0.86611676, 'blk': 0.48356885, 'tov': 1.568054, 'pra': 16.481157}"
Chris Paul,LAC,[],[],"{'pts': 13.215724, 'reb': 3.8922946, 'ast': 2.524745, 'threes': 1.8694811, 'stl': 0.725147, 'blk': 0.19798926, 'tov': 1.7013774, 'pra': 19.632763}"
Chris Youngblood,OKC,[],[],"{'pts': 9.692733, 'reb': 2.8683832, 'ast': 1.7199144, 'threes': 1.5234616, 'stl': 0.42812675, 'blk': 0.7467459, 'tov': 0.93731445, 'pra': 14.281031}"
Christian Braun,DEN,[],[],"{'pts': 11.50846, 'reb': 4.431672, 'ast': 2.1230154, 'threes': 1.2247376, 'stl': 0.88248914, 'blk': 0.123853415, 'tov': 1.6273397, 'pra': 18.063148}"
Cody Williams,UTA,[],[],"{'pts': 8.835684, 'reb': 4.664459, 'ast': 2.9023154, 'threes': 0.57991004, 'stl': 1.0333978, 'blk': 0.31483778, 'tov': 1.735526, 'pra': 16.402458}"
Collin Murray-Boyles,TOR,[],[],"{'pts': 7.944724, 'reb': 5.198901, 'ast': 1.1941041, 'threes': 0.29960704, 'stl': 0.78682005, 'blk': 0.0, 'tov': 1.9904139, 'pra': 14.337729}"
Craig Porter Jr.,CLE,[],[],"{'pts': 8.240387, 'reb': 5.0255527, 'ast': 3.2175221, 'threes': 0.14387846, 'stl': 1.5364485, 'blk': 0.0, 'tov': 2.6417873, 'pra': 16.483461}"
Curtis Jones,DEN,[],[],"{'pts': 12.987543, 'reb': 3.949005, 'ast': 2.1634014, 'threes': 1.466075, 'stl': 0.64891875, 'blk': 0.5282793, 'tov': 1.4265342, 'pra': 19.099949}"
DaRon Holmes II,DEN,[],[],"{'pts': 12.772738, 'reb': 3.9666975, 'ast': 1.8384717, 'threes': 1.5171907, 'stl': 0.78265697, 'blk': 0.54177856, 'tov': 1.6998985, 'pra': 18.577908}"
Dalen Terry,PHI,[],[],"{'pts': 11.861802, 'reb': 3.7008011, 'ast': 2.3969243, 'threes': 1.4016409, 'stl': 0.679134, 'blk': 0.5886506, 'tov': 1.2404152, 'pra': 17.959528}"
Danny Wolf,BKN,[],[],"{'pts': 14.154798, 'reb': 4.6448145, 'ast': 3.524588, 'threes': 1.1980059, 'stl': 1.2128983, 'blk': 0.568568, 'tov': 1.8470845, 'pra': 22.3242}"
David Roddy,DEN,[],[],"{'pts': 10.9005165, 'reb': 3.5107353, 'ast': 2.3978198, 'threes': 1.0001769, 'stl': 0.86123455, 'blk': 0.35647872, 'tov': 1.5196081, 'pra': 16.809072}"
Day'Ron Sharpe,BKN,[],[],"{'pts': 14.413953, 'reb': 6.5990496, 'ast': 2.9637988, 'threes': 1.1058843, 'stl': 0.9260838, 'blk': 0.70839626, 'tov': 2.0711887, 'pra': 23.9768}"
De'Anthony Melton,GSW,[],[],"{'pts': 13.499121, 'reb': 3.7148244, 'ast': 2.89115, 'threes': 1.3528514, 'stl': 1.2764494, 'blk': 0.3418851, 'tov': 2.0218413, 'pra': 20.105095}"
Dennis Schröder,CLE,[],[],"{'pts': 11.231026, 'reb': 4.111327, 'ast': 3.791541, 'threes': 0.21832371, 'stl': 1.6079916, 'blk': 0.0, 'tov': 2.8084812, 'pra': 19.133894}"
Derik Queen,NOP,[],[],"{'pts': 9.976639, 'reb': 5.786607, 'ast': 1.8852019, 'threes': 0.556253, 'stl': 1.1323363, 'blk': 0.31420928, 'tov': 2.3410723, 'pra': 17.648447}"
Derrick Jones Jr.,LAC,[],[],"{'pts': 9.3738365, 'reb': 3.1215646, 'ast': 1.193966, 'threes': 0.7262164, 'stl': 1.2489253, 'blk': 0.37920237, 'tov': 1.531898, 'pra': 13.689367}"
Dominick Barlow,PHI,[],[],"{'pts': 12.132356, 'reb': 3.7369816, 'ast': 1.2724152, 'threes': 1.3919048, 'stl': 0.78875613, 'blk': 0.5252827, 'tov': 0.9749887, 'pra': 17.141752}"
Drake Powell,BKN,[],[],"{'pts': 10.790704, 'reb': 3.3363187, 'ast': 1.7048948, 'threes': 1.1881967, 'stl': 0.9294202, 'blk': 0.4637465, 'tov': 1.1713117, 'pra': 15.831918}"
Draymond Green,GSW,[],[],"{'pts': 12.742783, 'reb': 4.559312, 'ast': 3.5638075, 'threes': 2.1997468, 'stl': 0.8532494, 'blk': 0.0, 'tov': 2.2432086, 'pra': 20.865902}"
Dylan Harper,SAS,[],[],"{'pts': 13.364026, 'reb': 3.7104847, 'ast': 2.8485155, 'threes': 1.2954178, 'stl': 0.8497709, 'blk': 0.18349281, 'tov': 1.9485123, 'pra': 19.923027}"
E.J. Liddell,BKN,[],[],"{'pts': 11.063133, 'reb': 3.686035, 'ast': 1.8237257, 'threes': 1.2005539, 'stl': 0.7303828, 'blk': 0.6025516, 'tov': 1.3514718, 'pra': 16.572895}"
Eric Gordon,PHI,[],[],"{'pts': 11.805905, 'reb': 2.9464653, 'ast': 1.4180619, 'threes': 1.9061964, 'stl': 0.72782254, 'blk': 0.1901902, 'tov': 1.4931593, 'pra': 16.170433}"
Ethan Thompson,IND,[],[],"{'pts': 10.839055, 'reb': 2.7491934, 'ast': 2.2557678, 'threes': 1.3573153, 'stl': 0.950487, 'blk': 0.7030957, 'tov': 0.898772, 'pra': 15.844016}"
GG Jackson,MEM,[],[],"{'pts': 14.155196, 'reb': 6.1840878, 'ast': 2.0722225, 'threes': 0.692544, 'stl': 1.1817385, 'blk': 0.71359015, 'tov': 2.0670516, 'pra': 22.411505}"
Gary Payton II,GSW,[],[],"{'pts': 10.3228245, 'reb': 5.033263, 'ast': 3.4482303, 'threes': 0.07323027, 'stl': 1.059517, 'blk': 0.43749705, 'tov': 1.9806186, 'pra': 18.804317}"
Grant Nelson,BKN,[],[],"{'pts': 12.516447, 'reb': 4.653652, 'ast': 2.3171573, 'threes': 0.6686314, 'stl': 0.99161047, 'blk': 0.3547376, 'tov': 1.9989876, 'pra': 19.487257}"
Gui Santos,GSW,[],[],"{'pts': 11.441828, 'reb': 5.956026, 'ast': 2.9928753, 'threes': 0.8677884, 'stl': 1.239696, 'blk': 0.33012578, 'tov': 2.2759864, 'pra': 20.39073}"
Hugo González,BOS,[],[],"{'pts': 10.639937, 'reb': 5.0314293, 'ast': 1.8791292, 'threes': 0.57964677, 'stl': 1.2987177, 'blk': 0.35779446, 'tov': 1.7378707, 'pra': 17.550495}"
Hunter Dickinson,NOP,[],[],"{'pts': 11.794459, 'reb': 3.6093762, 'ast': 1.952394, 'threes': 0.9508293, 'stl': 0.8538836, 'blk': 0.5062206, 'tov': 1.5030662, 'pra': 17.35623}"
Hunter Sallis,PHI,[],[],"{'pts': 11.013758, 'reb': 3.8715045, 'ast': 2.4039443, 'threes': 0.71270233, 'stl': 0.95870495, 'blk': 0.3007978, 'tov': 1.819366, 'pra': 17.289207}"
Hunter Tyson,DEN,[],[],"{'pts': 10.142293, 'reb': 4.803029, 'ast': 2.1168778, 'threes': 0.75425774, 'stl': 1.0708818, 'blk': 0.15256953, 'tov': 2.1288214, 'pra': 17.0622}"
Isaiah Hartenstein,OKC,[],[],"{'pts': 11.295292, 'reb': 6.735779, 'ast': 3.157107, 'threes': 0.41284484, 'stl': 1.1437074, 'blk': 0.36179987, 'tov': 2.3262331, 'pra': 21.188177}"
Isaiah Joe,OKC,[],[],"{'pts': 14.054499, 'reb': 2.900219, 'ast': 1.9036098, 'threes': 2.0133984, 'stl': 0.911867, 'blk': 0.59436, 'tov': 1.0498538, 'pra': 18.858328}"
Isaiah Livers,PHX,[],[],"{'pts': 6.820343, 'reb': 3.5155094, 'ast': 1.0456814, 'threes': 0.72688323, 'stl': 0.80317056, 'blk': 0.38191837, 'tov': 1.3827198, 'pra': 11.381534}"
Jabari Walker,PHI,[],[],"{'pts': 13.160159, 'reb': 5.0119915, 'ast': 2.0559995, 'threes': 1.0607176, 'stl': 1.0350155, 'blk': 0.8854932, 'tov': 1.5159395, 'pra': 20.22815}"
Jahmai Mashack,MEM,[],[],"{'pts': 10.119921, 'reb': 2.842374, 'ast': 1.4612546, 'threes': 1.0878627, 'stl': 1.052215, 'blk': 0.4032952, 'tov': 1.0932391, 'pra': 14.42355}"
Jahmyl Telfort,LAC,[],[],"{'pts': 10.783949, 'reb': 3.7976058, 'ast': 1.917604, 'threes': 0.8973271, 'stl': 0.84982634, 'blk': 0.49393857, 'tov': 1.4716784, 'pra': 16.499159}"
Jalen Brunson,NYK,[],[],"{'pts': 24.718468, 'reb': 3.476179, 'ast': 7.888019, 'threes': 2.7232792, 'stl': 0.9763752, 'blk': 0.042384744, 'tov': 2.223606, 'pra': 36.082664}"
Jalen Wilson,BKN,[],[],"{'pts': 10.452626, 'reb': 3.8475564, 'ast': 2.0112782, 'threes': 0.7089502, 'stl': 1.0757557, 'blk': 0.35169923, 'tov': 1.6266203, 'pra': 16.31146}"
Jamal Murray,DEN,[],[],"{'pts': 15.369435, 'reb': 2.6549604, 'ast': 4.6422267, 'threes': 0.9325213, 'stl': 1.8849223, 'blk': 0.0, 'tov': 2.7691865, 'pra': 22.666622}"
Jamir Watkins,WAS,[],[],"{'pts': 14.732799, 'reb': 3.7338297, 'ast': 2.4892194, 'threes': 1.3537943, 'stl': 0.93988264, 'blk': 0.34140205, 'tov': 1.3964653, 'pra': 20.955849}"
Jared McCain,OKC,[],[],"{'pts': 13.839576, 'reb': 3.645353, 'ast': 2.0153844, 'threes': 1.5085092, 'stl': 0.8496221, 'blk': 0.11539185, 'tov': 1.7646617, 'pra': 19.500313}"
Jase Richardson,ORL,[],[],"{'pts': 12.041692, 'reb': 3.1755688, 'ast': 2.175754, 'threes': 1.4185069, 'stl': 0.68257993, 'blk': 0.5768431, 'tov': 1.0568665, 'pra': 17.393015}"
Javon Small,MEM,[],[],"{'pts': 12.341242, 'reb': 4.75891, 'ast': 3.459599, 'threes': 0.8049895, 'stl': 1.3679914, 'blk': 0.20769939, 'tov': 2.077824, 'pra': 20.55975}"
Javonte Cooke,POR,[],[],"{'pts': 7.5601587, 'reb': 3.9691079, 'ast': 1.382694, 'threes': 0.5305984, 'stl': 0.71459997, 'blk': 0.4943933, 'tov': 1.5117348, 'pra': 12.911961}"
Jaylen Wells,MEM,[],[],"{'pts': 14.440225, 'reb': 2.3798473, 'ast': 2.0060337, 'threes': 1.7768486, 'stl': 0.9817877, 'blk': 0.40657395, 'tov': 1.1883872, 'pra': 18.826105}"
Jaylin Williams,OKC,[],[],"{'pts': 10.180831, 'reb': 6.449188, 'ast': 3.0571961, 'threes': 1.0834622, 'stl': 0.6929281, 'blk': 0.6804935, 'tov': 1.5160184, 'pra': 19.687216}"
Jaylon Tyson,CLE,[],[],"{'pts': 9.280656, 'reb': 3.590665, 'ast': 2.459484, 'threes': 0.22721606, 'stl': 1.6799606, 'blk': 0.0, 'tov': 1.9208091, 'pra': 15.330805}"
Jeremiah Fears,NOP,[],[],"{'pts': 10.153235, 'reb': 4.2092333, 'ast': 2.5660987, 'threes': 0.88493174, 'stl': 1.3326863, 'blk': 0.025250375, 'tov': 2.4678159, 'pra': 16.928568}"
Joan Beringer,MIN,[],[],"{'pts': 12.252033, 'reb': 4.374234, 'ast': 1.8616571, 'threes': 0.8085063, 'stl': 0.8782465, 'blk': 0.48319823, 'tov': 1.6617893, 'pra': 18.487923}"
Joel Embiid,PHI,[],[],"{'pts': 21.916622, 'reb': 6.8963156, 'ast': 4.6276054, 'threes': 1.033092, 'stl': 1.3045812, 'blk': 0.8191322, 'tov': 3.0428605, 'pra': 33.440544}"
John Collins,LAC,[],[],"{'pts': 12.997659, 'reb': 6.050523, 'ast': 1.8427529, 'threes': 0.7294269, 'stl': 1.166251, 'blk': 0.63695073, 'tov': 1.989921, 'pra': 20.890934}"
John Konchar,UTA,[],[],"{'pts': 6.073701, 'reb': 3.8182275, 'ast': 1.5703311, 'threes': 0.67136437, 'stl': 1.1401246, 'blk': 0.15136245, 'tov': 1.3404194, 'pra': 11.462259}"
John Poulakidas,DAL,[],[],"{'pts': 8.638276, 'reb': 5.657136, 'ast': 2.3304222, 'threes': 0.62393504, 'stl': 0.94477916, 'blk': 0.5305294, 'tov': 1.5711393, 'pra': 16.625834}"
John Tonje,BOS,[],[],"{'pts': 11.084264, 'reb': 4.083846, 'ast': 2.0831501, 'threes': 0.84805125, 'stl': 0.8952197, 'blk': 0.48974875, 'tov': 1.6203605, 'pra': 17.25126}"
Jonas Valančiūnas,DEN,[],[],"{'pts': 10.7750845, 'reb': 5.5200586, 'ast': 1.236004, 'threes': 0.5597971, 'stl': 0.9284346, 'blk': 0.54977345, 'tov': 2.0535202, 'pra': 17.531147}"
Jordan Clarkson,NYK,[],[],"{'pts': 10.777854, 'reb': 3.9257667, 'ast': 2.2773075, 'threes': 0.5363641, 'stl': 1.0851912, 'blk': 0.40437198, 'tov': 1.8076391, 'pra': 16.980928}"
Jordan Miller,LAC,[],[],"{'pts': 10.457878, 'reb': 3.1185615, 'ast': 2.0783944, 'threes': 1.3214192, 'stl': 1.1041813, 'blk': 0.37453532, 'tov': 1.7191607, 'pra': 15.654835}"
Jose Alvarado,NYK,[],[],"{'pts': 12.298886, 'reb': 4.0069313, 'ast': 3.7922888, 'threes': 0.9613196, 'stl': 1.2265801, 'blk': 0.13896453, 'tov': 2.1384275, 'pra': 20.098106}"
Josh Hart,NYK,[],[],"{'pts': 12.484239, 'reb': 6.8027573, 'ast': 3.0851252, 'threes': 1.1566792, 'stl': 1.3618276, 'blk': 0.32587343, 'tov': 2.7830055, 'pra': 22.37212}"
Josh Minott,BKN,[],[],"{'pts': 10.332344, 'reb': 4.1937265, 'ast': 1.9661498, 'threes': 0.6163796, 'stl': 1.0944874, 'blk': 0.25407872, 'tov': 1.7745358, 'pra': 16.49222}"
Julian Reese,WAS,[],[],"{'pts': 6.461068, 'reb': 7.708503, 'ast': 2.2362514, 'threes': 0.0, 'stl': 1.2419654, 'blk': 0.68555653, 'tov': 1.936543, 'pra': 16.405823}"
Julian Strawther,DEN,[],[],"{'pts': 8.896766, 'reb': 2.7689059, 'ast': 1.5124292, 'threes': 0.55495435, 'stl': 1.032683, 'blk': 0.13349468, 'tov': 1.4283004, 'pra': 13.178101}"
Justin Edwards,PHI,[],[],"{'pts': 10.836069, 'reb': 2.8946419, 'ast': 2.2411828, 'threes': 1.3824966, 'stl': 0.62249446, 'blk': 0.2633641, 'tov': 1.3304529, 'pra': 15.971893}"
KJ Simpson,DEN,[],[],"{'pts': 10.138741, 'reb': 4.570359, 'ast': 3.1499174, 'threes': 0.3880688, 'stl': 1.3309035, 'blk': 0.0, 'tov': 2.4674075, 'pra': 17.859016}"
Kadary Richmond,WAS,[],[],"{'pts': 11.854332, 'reb': 3.6451676, 'ast': 1.9540555, 'threes': 1.7463396, 'stl': 0.5055312, 'blk': 0.61453575, 'tov': 1.1354837, 'pra': 17.453554}"
Kam Jones,IND,[],[],"{'pts': 17.219414, 'reb': 2.932492, 'ast': 4.142157, 'threes': 2.3666275, 'stl': 0.88684404, 'blk': 0.50586915, 'tov': 0.98703, 'pra': 24.294062}"
Karl-Anthony Towns,NYK,[],[],"{'pts': 14.261554, 'reb': 9.481171, 'ast': 2.4107885, 'threes': 0.2862484, 'stl': 1.2740067, 'blk': 1.1924257, 'tov': 2.4749014, 'pra': 26.153515}"
Kasparas Jakučionis,MIA,[],[],"{'pts': 8.763516, 'reb': 3.9447482, 'ast': 2.3075464, 'threes': 0.86409765, 'stl': 1.1052659, 'blk': 0.12260941, 'tov': 1.9722104, 'pra': 15.015811}"
Kawhi Leonard,LAC,[],[],"{'pts': 18.034737, 'reb': 5.539648, 'ast': 2.9117222, 'threes': 0.89904994, 'stl': 1.6480731, 'blk': 1.056463, 'tov': 2.7023325, 'pra': 26.486107}"
Kelly Oubre Jr.,PHI,[],[],"{'pts': 15.111026, 'reb': 4.351713, 'ast': 2.1151538, 'threes': 2.0435884, 'stl': 1.0192779, 'blk': 0.33904767, 'tov': 1.7116566, 'pra': 21.577892}"
Kenrich Williams,OKC,[],[],"{'pts': 10.391972, 'reb': 4.336379, 'ast': 2.0875988, 'threes': 1.0024142, 'stl': 0.8409475, 'blk': 0.39568526, 'tov': 1.647791, 'pra': 16.815948}"
Keon Ellis,CLE,[],[],"{'pts': 8.63173, 'reb': 4.315572, 'ast': 1.900769, 'threes': 0.29825914, 'stl': 1.2337874, 'blk': 0.0, 'tov': 1.8798995, 'pra': 14.848071}"
Keshon Gilbert,WAS,[],[],"{'pts': 8.996228, 'reb': 4.3962345, 'ast': 1.8605196, 'threes': 0.34940547, 'stl': 1.1813755, 'blk': 0.0, 'tov': 2.005423, 'pra': 15.252982}"
Kevin Love,UTA,[],[],"{'pts': 8.045356, 'reb': 5.550926, 'ast': 2.4961708, 'threes': 0.52278525, 'stl': 1.1404927, 'blk': 0.50261205, 'tov': 1.8777497, 'pra': 16.092453}"
Kevin McCullar Jr.,NYK,[],[],"{'pts': 10.965264, 'reb': 4.0951014, 'ast': 2.092061, 'threes': 0.6944026, 'stl': 0.95422614, 'blk': 0.3171464, 'tov': 1.762889, 'pra': 17.152428}"
Khaman Maluach,PHX,[],[],"{'pts': 8.411721, 'reb': 4.1924667, 'ast': 1.0037898, 'threes': 0.9962043, 'stl': 0.63612175, 'blk': 0.9695312, 'tov': 0.95958, 'pra': 13.607978}"
Kobe Sanders,LAC,[],[],"{'pts': 6.959653, 'reb': 2.7017438, 'ast': 1.360039, 'threes': 0.8802449, 'stl': 1.0517256, 'blk': 0.18960726, 'tov': 1.4716746, 'pra': 11.021436}"
Koby Brea,PHX,[],[],"{'pts': 12.599785, 'reb': 3.3364265, 'ast': 2.2466552, 'threes': 1.4063647, 'stl': 0.7942888, 'blk': 0.5317697, 'tov': 1.3893975, 'pra': 18.182867}"
Kon Knueppel,CHA,[],[],"{'pts': 17.96666, 'reb': 3.5175636, 'ast': 1.9708529, 'threes': 3.248491, 'stl': 0.7420865, 'blk': 0.2675771, 'tov': 1.6307014, 'pra': 23.455074}"
Kris Dunn,LAC,[],[],"{'pts': 7.1695566, 'reb': 4.675215, 'ast': 2.6348228, 'threes': 0.6553517, 'stl': 1.149036, 'blk': 0.1211932, 'tov': 1.8884196, 'pra': 14.479594}"
Kyle Filipowski,UTA,[],[],"{'pts': 15.729531, 'reb': 7.2895603, 'ast': 3.2396364, 'threes': 1.2887802, 'stl': 0.8710368, 'blk': 1.1184136, 'tov': 1.680709, 'pra': 26.258728}"
Kyle Lowry,PHI,[],[],"{'pts': 10.507723, 'reb': 3.6636388, 'ast': 2.3943784, 'threes': 0.80149466, 'stl': 0.9549317, 'blk': 0.37858889, 'tov': 1.5266225, 'pra': 16.56574}"
Lachlan Olbrich,CHI,[],[],"{'pts': 11.023396, 'reb': 4.1486797, 'ast': 2.6496298, 'threes': 0.9745794, 'stl': 0.7069341, 'blk': 0.88419604, 'tov': 1.1521622, 'pra': 17.821705}"
Landry Shamet,NYK,[],[],"{'pts': 11.394318, 'reb': 3.2078614, 'ast': 2.0606022, 'threes': 0.9674768, 'stl': 1.0949705, 'blk': 0.0, 'tov': 1.895459, 'pra': 16.66278}"
Larry Nance Jr.,CLE,[],[],"{'pts': 10.66675, 'reb': 4.461402, 'ast': 2.0219512, 'threes': 0.8763233, 'stl': 0.92358214, 'blk': 0.6379916, 'tov': 1.3681577, 'pra': 17.150103}"
Lauri Markkanen,UTA,[],[],"{'pts': 18.482117, 'reb': 4.74341, 'ast': 2.3202875, 'threes': 1.8910067, 'stl': 1.5054548, 'blk': 1.2462623, 'tov': 1.8483665, 'pra': 25.545815}"
Lawson Lovering,MEM,[],[],"{'pts': 10.374393, 'reb': 6.206049, 'ast': 1.9858053, 'threes': 0.57150894, 'stl': 0.90374255, 'blk': 0.88763326, 'tov': 1.3355532, 'pra': 18.566248}"
Lonzo Ball,CLE,[],[],"{'pts': 9.345769, 'reb': 4.878495, 'ast': 2.3954828, 'threes': 1.0883014, 'stl': 1.0024487, 'blk': 0.33439907, 'tov': 1.6433499, 'pra': 16.619747}"
Luguentz Dort,OKC,[],[],"{'pts': 10.2802305, 'reb': 3.8040617, 'ast': 1.3927357, 'threes': 1.487155, 'stl': 0.78494745, 'blk': 0.31379426, 'tov': 1.0374302, 'pra': 15.477028}"
Luke Travers,CLE,[],[],"{'pts': 10.340531, 'reb': 4.7499237, 'ast': 2.2923863, 'threes': 0.48031634, 'stl': 1.0661277, 'blk': 0.4410387, 'tov': 1.9049857, 'pra': 17.382841}"
Malevy Leons,GSW,[],[],"{'pts': 12.87332, 'reb': 4.5448, 'ast': 1.9932866, 'threes': 1.2627635, 'stl': 0.70333695, 'blk': 0.43042505, 'tov': 1.5610356, 'pra': 19.411406}"
Mark Sears,MIL,[],[],"{'pts': 12.292094, 'reb': 3.89562, 'ast': 2.1211138, 'threes': 1.193136, 'stl': 0.791989, 'blk': 0.49385226, 'tov': 1.6564121, 'pra': 18.308826}"
Maxime Raynaud,SAC,[],[],"{'pts': 15.239108, 'reb': 7.7674828, 'ast': 1.4433857, 'threes': 0.70497805, 'stl': 1.1563482, 'blk': 0.93569696, 'tov': 2.0894551, 'pra': 24.449978}"
