player,team,plays,ladders,model
Sion James,CHA,[],[],"{'pts': 10.972393035888672, 'reb': 4.154808044433594, 'ast': 2.1025257110595703, 'threes': 1.777590129060036, 'pra': 16.47428422608858}"
Taelon Peter,IND,[],[],"{'pts': 9.424761772155762, 'reb': 4.016156196594238, 'ast': 1.897236943244934, 'threes': 0.859567403793335, 'pra': 15.497416496276855}"
Thanasis Antetokounmpo,MIL,[],[],"{'pts': 13.882319450378418, 'reb': 4.485088348388672, 'ast': 2.42040491104126, 'threes': 1.143239974975586, 'pra': 20.94707298278809}"
VJ Edgecombe,PHI,[],[],"{'pts': 14.706589698791504, 'reb': 4.040332794189453, 'ast': 2.812751054763794, 'threes': 1.821460247039795, 'pra': 21.718935012817383}"
Vladislav Goldin,MIA,[],[],"{'pts': 12.955574989318848, 'reb': 4.214735984802246, 'ast': 3.078622817993164, 'threes': 1.1830803155899048, 'pra': 20.40819549560547}"
Walter Clayton Jr.,UTA,[],[],"{'pts': 10.633740425109863, 'reb': 3.620027542114258, 'ast': 2.76264762878418, 'threes': 1.1695287227630615, 'pra': 17.175676345825195}"
Will Richard,GSW,[],[],"{'pts': 10.992108345031738, 'reb': 3.9124484062194815, 'ast': 2.102123737335205, 'threes': 1.020610841682979, 'pra': 16.41594123840332}"
Will Riley,WAS,[],[],"{'pts': 13.092951774597168, 'reb': 4.64243221282959, 'ast': 2.487155675888061, 'threes': 0.6551230549812317, 'pra': 20.38180160522461}"
Yang Hansen,POR,[],[],"{'pts': 13.552260398864746, 'reb': 5.0463547706604, 'ast': 2.882201671600342, 'threes': 1.154955506324768, 'pra': 21.640079498291016}"
Yanic Konan Niederhäuser,LAC,[],[],"{'pts': 12.203021049499512, 'reb': 4.178134441375732, 'ast': 2.046048641204834, 'threes': 1.3510451316833496, 'pra': 18.58646583557129}"
