player_id,player_name,team_ls,team_box,team_on_slate,injury_status,match
1642264,Stephon Castle,SAS,,False,,False
1630658,Colin Castleton,ORL,,True,,False
1630577,Julian Champagnie,SAS,,False,,False
1630551,Justin Champagnie,WAS,,False,,False
1642279,Ulrich Chomche,TOR,,True,,False
1642353,Cam Christie,LAC,,False,,False
1631108,Max Christie,DAL,LAL,False,,False
1630528,Josh Christopher,MIA,,False,,False
1631321,Sidy Cissoko,POR,,True,,False
1641740,Jaylen Clark,MIN,,True,,False
1629634,Brandon Clarke,MEM,,False,,False
203903,Jordan Clarkson,NYK,,True,,False
1629651,Nic Claxton,BKN,BKN,True,,True
1642270,Donovan Clingan,POR,POR,True,,True
1641730,Noah Clowney,BKN,BKN,True,,True
1629599,Amir Coffey,MIL,,False,,False
1642268,Isaiah Collier,UTA,,False,,False
1628381,John Collins,LAC,,False,,False
1641879,Yuri Collins,,,False,,False
1628380,Zach Collins,CHI,,True,,False
201144,Mike Conley,MIN,MIN,True,,True
1626192,Pat Connaughton,CHA,,True,,False
1641731,Bilal Coulibaly,WAS,,False,,False
1641741,Ricky Council IV,PHI,,False,,False
1628470,Torrey Craig,BOS,CHI,True,,False
1642384,Isaiah Crawford,HOU,,False,,False
203109,Jae Crowder,SAC,,True,,False
1642385,Cui Cui,,,False,,False
1630595,Cade Cunningham,DET,DET,True,,True
203552,Seth Curry,CHA,CHA,True,,True
201939,Stephen Curry,GSW,,False,,False
1642359,Pacôme Dadiet,NYK,NYK,True,,True
1630700,Dyson Daniels,ATL,,True,,False
1642368,N'Faly Dante,ATL,,True,,False
203076,Anthony Davis,DAL,LAL,False,,False
1631098,Johnny Davis,,,False,,False
1629056,Terence Davis,SAC,,True,,False
1631120,JD Davison,HOU,BOS,False,,False
201942,DeMar DeRozan,SAC,SAC,True,,True
1642484,RayJ Dennis,IND,,True,,False
1628978,Donte DiVincenzo,MIN,MIN,True,,True
1631217,Moussa Diabaté,CHA,CHA,True,,True
1641711,Gradey Dick,TOR,TOR,True,,True
1631172,Ousmane Dieng,OKC,OKC,True,,True
1642265,Rob Dillingham,MIN,MIN,True,,True
203915,Spencer Dinwiddie,DAL,,False,,False
1629029,Luka Dončić,LAL,,True,,False
1629652,Luguentz Dort,OKC,OKC,True,,True
1630245,Ayo Dosunmu,CHI,CHI,True,,True
1630288,Jeff Dowtin Jr.,PHI,,False,,False
1628408,PJ Dozier,,MIN,False,,False
203083,Andre Drummond,PHI,,False,,False
1630537,Chris Duarte,,CHI,False,,False
1642505,Alex Ducas,OKC,,True,,False
1630561,David Duke Jr.,SAS,,False,,False
1627739,Kris Dunn,LAC,,False,,False
1642346,Ryan Dunn,PHX,,False,,False
201142,Kevin Durant,HOU,,False,,False
1631105,Jalen Duren,DET,DET,True,,True
1631106,Tari Eason,HOU,,False,,False
1641744,Zach Edey,MEM,,False,,False
1630162,Anthony Edwards,MIN,MIN,True,,True
1642399,Jesse Edwards,MIN,,True,,False
1642348,Justin Edwards,PHI,,False,,False
1630556,Kessler Edwards,DAL,,False,,False
1631165,Keon Ellis,SAC,SAC,True,,True
203954,Joel Embiid,PHI,,False,,False
1630623,Tyson Etienne,BKN,,True,,False
1629234,Drew Eubanks,SAC,,True,,False
1641787,Tosan Evbuomwan,NYK,,True,,False
203957,Danté Exum,DAL,,False,,False
1628981,Bruno Fernando,,TOR,False,,False
1642271,Kyle Filipowski,UTA,,False,,False
1627827,Dorian Finney-Smith,HOU,BKN,False,,False
1641745,Adam Flagler,OKC,,True,,False
1642280,Trentyn Flowers,CHI,,True,,False
