date,game_id,home,away,side,team,n_sims,player_id,player_name,split_type,split,pts_p10,pts_p50,pts_p90,reb_p10,reb_p50,reb_p90,ast_p10,ast_p50,ast_p90,threes_p10,threes_p50,threes_p90
2026-03-26,,CHA,NYK,away,NYK,2000,1628969,Mikal Bridges,quarter,q4,0.0,3.0,7.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,203903,Jordan Clarkson,quarter,q1,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,203903,Jordan Clarkson,quarter,q2,0.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,203903,Jordan Clarkson,quarter,q3,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,203903,Jordan Clarkson,quarter,q4,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1629011,Mitchell Robinson,quarter,q1,0.0,2.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1629011,Mitchell Robinson,quarter,q2,0.0,2.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1629011,Mitchell Robinson,quarter,q3,0.0,2.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1629011,Mitchell Robinson,quarter,q4,0.0,2.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1628404,Josh Hart,quarter,q1,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1628404,Josh Hart,quarter,q2,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1628404,Josh Hart,quarter,q3,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1628404,Josh Hart,quarter,q4,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
