player,team,plays,ladders,model
Goga Bitadze,ORL,[],[],"{'pts': 8.505878, 'reb': 5.9602065, 'ast': 1.4288216, 'threes': 0.7374257, 'pra': 16.606047}"
Isaiah Jackson,IND,[],[],"{'pts': 10.575059, 'reb': 5.3275447, 'ast': 2.808547, 'threes': 0.6822642, 'pra': 19.422293}"
Isaiah Stewart,DET,[],[],"{'pts': 11.062657, 'reb': 5.926666, 'ast': 2.0443513, 'threes': 1.1391356, 'pra': 19.744816}"
Jabari Smith Jr.,HOU,[],[],"{'pts': 15.990082, 'reb': 4.1779985, 'ast': 1.870614, 'threes': 2.6567094, 'pra': 22.749834}"
Jaden McDaniels,MIN,[],[],"{'pts': 15.501419, 'reb': 4.4602003, 'ast': 1.659697, 'threes': 1.8572572, 'pra': 22.332457}"
Jalen Duren,DET,[],[],"{'pts': 14.994545, 'reb': 8.549503, 'ast': 2.4529672, 'threes': 0.69609225, 'pra': 26.708155}"
Jalen Suggs,ORL,[],[],"{'pts': 15.824654, 'reb': 4.3399954, 'ast': 4.414341, 'threes': 1.9515997, 'pra': 25.29013}"
Jarace Walker,IND,[],[],"{'pts': 13.24638, 'reb': 4.897014, 'ast': 2.8328996, 'threes': 2.2693691, 'pra': 21.687435}"
Jay Huff,IND,[],[],"{'pts': 10.955656, 'reb': 3.814098, 'ast': 2.5570593, 'threes': 1.0944806, 'pra': 18.037954}"
Jaylen Brown,BOS,[],[],"{'pts': 24.023031, 'reb': 4.713765, 'ast': 4.167197, 'threes': 3.02053, 'pra': 33.61513}"
Jimmy Butler III,GSW,[],[],"{'pts': 15.105827, 'reb': 5.0719767, 'ast': 4.5101542, 'threes': 0.97962916, 'pra': 25.399101}"
Jonathan Kuminga,GSW,[],[],"{'pts': 17.303127, 'reb': 6.4721975, 'ast': 3.1449294, 'threes': 1.6892136, 'pra': 27.631397}"
Josh Minott,BOS,[],[],"{'pts': 9.949885, 'reb': 6.739049, 'ast': 2.104464, 'threes': 0.5059558, 'pra': 19.50454}"
Josh Okogie,HOU,[],[],"{'pts': 13.663441, 'reb': 3.340745, 'ast': 2.0799878, 'threes': 1.9368697, 'pra': 19.795315}"
Julius Randle,MIN,[],[],"{'pts': 23.621899, 'reb': 5.684684, 'ast': 4.40081, 'threes': 2.6884978, 'pra': 34.41853}"
Keon Ellis,SAC,[],[],"{'pts': 9.58635, 'reb': 2.9634428, 'ast': 1.2088963, 'threes': 1.5046494, 'pra': 14.469829}"
Kevin Durant,HOU,[],[],"{'pts': 21.371445, 'reb': 5.4960957, 'ast': 2.2164497, 'threes': 2.2430556, 'pra': 29.79513}"
Khris Middleton,WAS,[],[],"{'pts': 14.65691, 'reb': 5.2300363, 'ast': 2.494592, 'threes': 1.3107909, 'pra': 23.092678}"
Klay Thompson,DAL,[],[],"{'pts': 11.693793, 'reb': 3.7779756, 'ast': 2.2103212, 'threes': 1.6301233, 'pra': 18.393232}"
Kon Knueppel,CHA,[],[],"{'pts': 10.409895, 'reb': 2.698472, 'ast': 2.6252196, 'threes': 1.3900201, 'pra': 16.444729}"
Kyle Kuzma,MIL,[],[],"{'pts': 13.738608, 'reb': 5.127874, 'ast': 2.4943407, 'threes': 1.6641587, 'pra': 22.071964}"
Kyshawn George,WAS,[],[],"{'pts': 15.501778, 'reb': 6.01007, 'ast': 4.2201953, 'threes': 2.0367568, 'pra': 26.443184}"
LaMelo Ball,CHA,[],[],"{'pts': 23.512556, 'reb': 5.4207087, 'ast': 8.467654, 'threes': 2.5807273, 'pra': 38.11206}"
Marvin Bagley III,WAS,[],[],"{'pts': 14.24888, 'reb': 5.3519263, 'ast': 2.5721276, 'threes': 1.453101, 'pra': 22.884075}"
Max Christie,DAL,[],[],"{'pts': 13.329457, 'reb': 1.6125131, 'ast': 2.6782725, 'threes': 2.0863688, 'pra': 18.331385}"
Mike Conley,MIN,[],[],"{'pts': 14.4224205, 'reb': 3.8248158, 'ast': 3.5568876, 'threes': 2.208071, 'pra': 22.515265}"
Miles Bridges,CHA,[],[],"{'pts': 13.823328, 'reb': 5.114006, 'ast': 2.0765011, 'threes': 1.8952128, 'pra': 21.724977}"
Moses Moody,GSW,[],[],"{'pts': 9.623936, 'reb': 3.333015, 'ast': 2.718122, 'threes': 0.5607718, 'pra': 16.386213}"
Myles Turner,MIL,[],[],"{'pts': 11.611433, 'reb': 5.912752, 'ast': 2.4440706, 'threes': 1.6003418, 'pra': 20.679398}"
Naji Marshall,DAL,[],[],"{'pts': 13.0785265, 'reb': 5.0987797, 'ast': 2.2750776, 'threes': 1.2408684, 'pra': 21.163525}"
Naz Reid,MIN,[],[],"{'pts': 12.729529, 'reb': 6.00732, 'ast': 2.1924133, 'threes': 1.1394228, 'pra': 21.640404}"
Neemias Queta,BOS,[],[],"{'pts': 11.811251, 'reb': 7.634807, 'ast': 1.5591413, 'threes': 0.9263896, 'pra': 21.71634}"
P.J. Washington,DAL,[],[],"{'pts': 11.0253525, 'reb': 6.5084653, 'ast': 3.0966911, 'threes': 0.18269578, 'pra': 21.34165}"
Paolo Banchero,ORL,[],[],"{'pts': 21.69958, 'reb': 7.541126, 'ast': 4.032664, 'threes': 1.7931204, 'pra': 33.98451}"
Pascal Siakam,IND,[],[],"{'pts': 20.93937, 'reb': 7.203403, 'ast': 4.1879888, 'threes': 1.9589676, 'pra': 33.041904}"
Payton Pritchard,BOS,[],[],"{'pts': 15.239603, 'reb': 4.274679, 'ast': 4.948674, 'threes': 1.8502058, 'pra': 25.174099}"
Reed Sheppard,HOU,[],[],"{'pts': 9.260122, 'reb': 3.8076034, 'ast': 4.0647774, 'threes': 0.5398276, 'pra': 17.843645}"
Rudy Gobert,MIN,[],[],"{'pts': 11.95434, 'reb': 6.727733, 'ast': 1.0409045, 'threes': 1.3802153, 'pra': 20.434116}"
Russell Westbrook,SAC,[],[],"{'pts': 11.507947, 'reb': 3.836039, 'ast': 3.0709436, 'threes': 1.876201, 'pra': 19.126072}"
Ryan Kalkbrenner,CHA,[],[],"{'pts': 11.206871, 'reb': 6.140701, 'ast': 1.3112466, 'threes': 0.831545, 'pra': 19.369959}"
Ryan Rollins,MIL,[],[],"{'pts': 21.956581, 'reb': 4.0515203, 'ast': 4.4697237, 'threes': 3.449631, 'pra': 31.188965}"
Sam Hauser,BOS,[],[],"{'pts': 10.355313, 'reb': 2.550027, 'ast': 2.974906, 'threes': 1.319508, 'pra': 16.591387}"
Sion James,CHA,[],[],"{'pts': 10.491228, 'reb': 3.0610037, 'ast': 2.3815546, 'threes': 1.466134, 'pra': 16.644928}"
Stephen Curry,GSW,[],[],"{'pts': 18.287277, 'reb': 3.4730701, 'ast': 4.7432146, 'threes': 2.4146612, 'pra': 27.214699}"
Steven Adams,HOU,[],[],"{'pts': 10.49614, 'reb': 8.7429285, 'ast': 2.233916, 'threes': 0.09682259, 'pra': 22.184124}"
Tari Eason,HOU,[],[],"{'pts': 13.5854225, 'reb': 4.882406, 'ast': 3.263583, 'threes': 1.6461818, 'pra': 22.442553}"
Taurean Prince,MIL,[],[],"{'pts': 11.066206, 'reb': 2.876682, 'ast': 2.1351042, 'threes': 1.4327401, 'pra': 16.789133}"
Terrence Shannon Jr.,MIN,[],[],"{'pts': 10.640963, 'reb': 4.197436, 'ast': 2.124186, 'threes': 1.1974244, 'pra': 17.673725}"
Tre Johnson,WAS,[],[],"{'pts': 13.198531, 'reb': 3.4375582, 'ast': 2.5406332, 'threes': 1.7782282, 'pra': 19.887863}"
Tristan da Silva,ORL,[],[],"{'pts': 11.013488, 'reb': 3.9764433, 'ast': 1.3705827, 'threes': 1.7436585, 'pra': 17.071655}"
Wendell Carter Jr.,ORL,[],[],"{'pts': 10.130648, 'reb': 6.327333, 'ast': 1.4068652, 'threes': 1.3998432, 'pra': 18.575987}"
Zach LaVine,SAC,[],[],"{'pts': 18.28304, 'reb': 2.596383, 'ast': 2.3090458, 'threes': 2.008392, 'pra': 23.899609}"
