date,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team
2025-11-21,1630549.0,Day'Ron Sharpe,BKN,pts,OVER,7.5,150,0.4,0.7014640096960416,0.3014640096960416,0.7536600242401039,bovada,Bovada,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,201144.0,Mike Conley,MIN,pts,OVER,5.5,-132,0.5689655172413793,0.8660130547978018,0.29704753755642244,0.5220835508567425,williamhill_us,Caesars,2025-11-22T02:10:00Z,Phoenix Suns,Minnesota Timberwolves
2025-11-21,1629611.0,Terance Mann,BKN,pts,OVER,10.5,125,0.4444444444444444,0.7394137056729901,0.2949692612285457,0.6636808377642278,bovada,Bovada,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1631213.0,Tyrese Martin,BKN,pts,OVER,9.5,210,0.3225806451612903,0.6174148619376623,0.29483421677637195,0.913986072006753,bovada,Bovada,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1642345.0,Oso Ighodaro,PHX,pts,OVER,4.5,-120,0.5454545454545454,0.8401516738414694,0.29469712838692397,0.5402780687093606,betmgm,BetMGM,2025-11-22T02:10:00Z,Phoenix Suns,Minnesota Timberwolves
2025-11-21,1630581.0,Josh Giddey,CHI,pts,OVER,22.5,140,0.4166666666666667,0.7102908746453307,0.293624207978664,0.7046980991487936,bovada,Bovada,2025-11-22T01:10:00Z,Chicago Bulls,Miami Heat
2025-11-21,1630581.0,Josh Giddey,CHI,pts,OVER,23.5,170,0.37037037037037035,0.6630864371457431,0.29271606677537276,0.7903333802935063,bovada,Bovada,2025-11-22T01:10:00Z,Chicago Bulls,Miami Heat
2025-11-21,201144.0,Mike Conley,MIN,pts,OVER,5.5,-135,0.574468085106383,0.8660130547978018,0.29154496969141874,0.5075042064998772,bovada,Bovada,2025-11-22T02:10:00Z,Phoenix Suns,Minnesota Timberwolves
2025-11-21,1641718.0,Keyonte George,UTA,pts,OVER,19.5,-115,0.5348837209302325,0.8261267778096846,0.29124305687945207,0.5444978889485407,fanatics,Fanatics,2025-11-22T03:10:00Z,Utah Jazz,Oklahoma City Thunder
2025-11-21,1630581.0,Josh Giddey,CHI,pts,OVER,21.5,115,0.46511627906976744,0.7541375698416195,0.28902129077185207,0.6213957751594819,bovada,Bovada,2025-11-22T01:10:00Z,Chicago Bulls,Miami Heat
2025-11-21,1628983.0,Shai Gilgeous-Alexander,OKC,pts,UNDER,32.5,-160,0.6153846153846154,0.9028146494950637,0.2874300341104483,0.4670738054294785,bovada,Bovada,2025-11-22T03:10:00Z,Utah Jazz,Oklahoma City Thunder
2025-11-21,1641775.0,Jordan Walsh,BOS,pts,OVER,5.5,105,0.4878048780487805,0.770549332870978,0.28274445482219757,0.579626132385505,betmgm,BetMGM,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1629611.0,Terance Mann,BKN,pts,OVER,9.5,100,0.5,0.7807924317898991,0.2807924317898991,0.5615848635797982,betmgm,BetMGM,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1629611.0,Terance Mann,BKN,pts,OVER,9.5,100,0.5,0.7807924317898991,0.2807924317898991,0.5615848635797982,fanatics,Fanatics,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1631213.0,Tyrese Martin,BKN,pts,OVER,8.5,155,0.39215686274509803,0.6671407784929224,0.2749839157478244,0.7012089851569523,bovada,Bovada,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1628983.0,Shai Gilgeous-Alexander,OKC,pts,UNDER,33.5,-185,0.6491228070175439,0.923797898385845,0.27467509136830115,0.4231481137295451,bovada,Bovada,2025-11-22T03:10:00Z,Utah Jazz,Oklahoma City Thunder
2025-11-21,1641775.0,Jordan Walsh,BOS,pts,OVER,6.5,120,0.45454545454545453,0.7281819890099152,0.2736365344644606,0.6020003758218133,bovada,Bovada,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1641775.0,Jordan Walsh,BOS,pts,OVER,5.5,101,0.4975124378109453,0.770549332870978,0.27303689506003276,0.5488041590706658,draftkings,DraftKings,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1642345.0,Oso Ighodaro,PHX,pts,OVER,4.5,-132,0.5689655172413793,0.8401516738414694,0.27118615660009004,0.4766302146304613,fanduel,FanDuel,2025-11-22T02:10:00Z,Phoenix Suns,Minnesota Timberwolves
2025-11-21,1641718.0,Keyonte George,UTA,pts,OVER,17.5,-160,0.6153846153846154,0.886021080998711,0.2706364656140956,0.43978425662290543,bovada,Bovada,2025-11-22T03:10:00Z,Utah Jazz,Oklahoma City Thunder
2025-11-21,1630581.0,Josh Giddey,CHI,pts,OVER,20.5,-110,0.5238095238095238,0.7941487665134963,0.27033924270397247,0.5161021906166747,bovada,Bovada,2025-11-22T01:10:00Z,Chicago Bulls,Miami Heat
2025-11-21,1630549.0,Day'Ron Sharpe,BKN,pts,OVER,6.5,110,0.47619047619047616,0.7459980969838403,0.2698076207933642,0.5665960036660648,betmgm,BetMGM,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1628978.0,Donte DiVincenzo,MIN,pts,OVER,16.5,200,0.3333333333333333,0.6023610365341382,0.2690277032008049,0.8070831096024146,bovada,Bovada,2025-11-22T02:10:00Z,Phoenix Suns,Minnesota Timberwolves
2025-11-21,1626156.0,D'Angelo Russell,DAL,pts,OVER,15.5,160,0.38461538461538464,0.6534959965649249,0.2688806119495402,0.6990895910688047,bovada,Bovada,2025-11-22T01:40:00Z,Dallas Mavericks,New Orleans Pelicans
