date,team,player_id,player_name,injury_status,playing_today,team_on_slate
2026-03-26,NOP,1630527,Brandon Boston,NAN,True,True
2026-03-26,NOP,1630529,Herbert Jones,NAN,True,True
2026-03-26,NOP,1630530,Trey Murphy III,QUESTIONABLE,True,True
2026-03-26,CHA,1630544,Tre Mann,DAY-TO-DAY,True,True
2026-03-26,NYK,1630574,Ariel Hukporti,DAY-TO-DAY,True,True
2026-03-26,NYK,1630631,Jose Alvarado,DAY-TO-DAY,True,True
2026-03-26,ORL,1630658,Colin Castleton,NAN,True,True
2026-03-26,ORL,1631094,Paolo Banchero,NAN,True,True
2026-03-26,DET,1631105,Jalen Duren,DAY-TO-DAY,True,True
2026-03-26,NYK,1631110,Jeremy Sochan,NAN,True,True
2026-03-26,ORL,1631115,Orlando Robinson,NAN,True,True
2026-03-26,SAC,1631116,Patrick Baldwin Jr.,DAY-TO-DAY,True,True
2026-03-26,DET,1631204,Marcus Sasser,DAY-TO-DAY,True,True
2026-03-26,CHA,1631217,Moussa Diabaté,NAN,True,True
2026-03-26,NOP,1631232,Keion Brooks Jr.,NAN,True,True
2026-03-26,NOP,1631255,Karlo Matković,NAN,True,True
2026-03-26,ORL,1631288,Jamal Cain,NAN,True,True
2026-03-26,NOP,1631311,Lester Quinones,NAN,True,True
2026-03-26,SAC,1631342,Daeqwon Plowden,DAY-TO-DAY,True,True
2026-03-26,CHA,1641706,Brandon Miller,DAY-TO-DAY,True,True
2026-03-26,DET,1641709,Ausar Thompson,DAY-TO-DAY,True,True
2026-03-26,NOP,1641722,Jordan Hawkins,DAY-TO-DAY,True,True
2026-03-26,ORL,1641724,Jett Howard,NAN,True,True
2026-03-26,DET,1641732,Colby Jones,DAY-TO-DAY,True,True
2026-03-26,DET,1641752,Bobi Klintman,NAN,True,True
2026-03-26,ORL,1641783,Tristan da Silva,DAY-TO-DAY,True,True
2026-03-26,CHA,1641787,Tosan Evbuomwan,NAN,True,True
2026-03-26,CHA,1641790,PJ Hall,NAN,True,True
2026-03-26,NYK,1641794,Dillon Jones,NAN,True,True
2026-03-26,CHA,1641809,Drew Peterson,DAY-TO-DAY,True,True
2026-03-26,CHA,1641810,Antonio Reeves,NAN,True,True
2026-03-26,SAC,1641815,Isaiah Stevens,DAY-TO-DAY,True,True
2026-03-26,NYK,1641817,Anton Watson,NAN,True,True
2026-03-26,DET,1641842,Ronald Holland II,NAN,True,True
2026-03-26,CHA,1641878,Damion Baugh,NAN,True,True
2026-03-26,SAC,1642269,Devin Carter,DAY-TO-DAY,True,True
2026-03-26,NOP,1642274,Yves Missi,QUESTIONABLE,True,True
2026-03-26,CHA,1642275,Tidjane Salaün,NAN,True,True
2026-03-26,NYK,1642278,Tyler Kolek,DAY-TO-DAY,True,True
2026-03-26,NYK,1642359,Pacôme Dadiet,NAN,True,True
2026-03-26,DET,1642403,Isaac Jones,NAN,True,True
2026-03-26,DET,1642449,Tolu Smith,DAY-TO-DAY,True,True
2026-03-26,DET,1642450,Daniss Jenkins,NAN,True,True
