player,team,plays,ladders,model,_plays_list,top_play,top_play_explain,top_play_baseline,top_play_reasons,top_play_consensus,top_play_line_adv
De'Anthony Melton,GSW,[],[],"{'pts': 19.486229077974954, 'reb': 4.466225624084473, 'ast': 2.64420565746552, 'threes': 2.918041086003792, 'pra': 26.596660359524947}",[],,,,[],0.0,0.0
DeMar DeRozan,SAC,[],[],"{'pts': 15.992033004760742, 'reb': 3.300845226687258, 'ast': 2.4218495732044314, 'threes': 1.2705545417736817, 'pra': 21.71472780465244}",[],,,,[],0.0,0.0
Dean Wade,CLE,[],[],"{'pts': 10.604510307312012, 'reb': 4.296873569488525, 'ast': 1.882476687431336, 'threes': 1.331141471862793, 'pra': 16.783860564231873}",[],,,,[],0.0,0.0
Dennis Schröder,CLE,[],[],"{'pts': 9.735855046440571, 'reb': 4.465668201446533, 'ast': 3.3323011028208414, 'threes': 0.905818770792872, 'pra': 17.53382435070795}",[],,,,[],0.0,0.0
Derrick White,BOS,[],[],"{'pts': 15.123464584350586, 'reb': 2.775592803955078, 'ast': 6.293342113494873, 'threes': 1.9799834609574545, 'pra': 24.192399501800537}",[],,,,[],0.0,0.0
Devin Carter,SAC,[],[],"{'pts': 15.314933776855469, 'reb': 4.585722923278809, 'ast': 3.516008853912353, 'threes': 1.5589804649353027, 'pra': 23.41666555404663}",[],,,,[],0.0,0.0
Devin Vassell,SAS,[],[],"{'pts': 9.104769706726074, 'reb': 3.807178020477295, 'ast': 1.8346630334854128, 'threes': 1.0245516300201416, 'pra': 14.746610760688782}",[],,,,[],0.0,0.0
Donovan Mitchell,CLE,[],[],"{'pts': 22.74532637303172, 'reb': 3.367194461435284, 'ast': 5.78307107167568, 'threes': 1.807074657213966, 'pra': 31.89559190614268}",[],,,,[],0.0,0.0
Doug McDermott,SAC,[],[],"{'pts': 11.687888145446776, 'reb': 3.376887321472168, 'ast': 1.0913273096084597, 'threes': 2.4422078132629395, 'pra': 16.156102776527405}",[],,,,[],0.0,0.0
Draymond Green,GSW,[],[],"{'pts': 14.07158647264753, 'reb': 4.939361095428467, 'ast': 4.549037456512451, 'threes': 1.5444789212053287, 'pra': 23.55998502458845}",[],,,,[],0.0,0.0
