player,team,plays,ladders,model
Noah Penda,ORL,[],[],"{'pts': 11.33297348022461, 'reb': 5.395549774169922, 'ast': 3.078575134277344, 'threes': 1.040868043899536, 'pra': 19.666200637817383}"
Nolan Traore,BKN,[],[],"{'pts': 11.124530792236328, 'reb': 4.050901412963867, 'ast': 2.9153497219085693, 'threes': 0.8037641048431396, 'pra': 17.94988441467285}"
Ryan Kalkbrenner,CHA,[],[],"{'pts': 9.953017799313194, 'reb': 6.135897408647621, 'ast': 0.5070961436088925, 'threes': 0.6171476321855527, 'pra': 16.296093579088712}"
Ryan Nembhard,DAL,[],[],"{'pts': 16.606752395629883, 'reb': 3.9813060760498047, 'ast': 4.105304718017578, 'threes': 1.84630823135376, 'pra': 24.55246925354004}"
Saddiq Bey,NOP,[],[],"{'pts': 13.265723509985827, 'reb': 7.147030440232156, 'ast': 2.072195083264526, 'threes': 2.1387605934484863, 'pra': 22.549292805285603}"
Sharife Cooper,WAS,[],[],"{'pts': 11.571301460266112, 'reb': 4.098282814025879, 'ast': 2.298753261566162, 'threes': 1.060519456863403, 'pra': 17.82744026184082}"
Sion James,CHA,[],[],"{'pts': 5.693505563234028, 'reb': 3.5451331176083585, 'ast': 1.3745265294698803, 'threes': 0.6193793315415194, 'pra': 10.61899614696302}"
Taelon Peter,IND,[],[],"{'pts': 11.373717308044434, 'reb': 4.856472015380859, 'ast': 3.184376239776612, 'threes': 0.773166835308075, 'pra': 19.27366828918457}"
Thanasis Antetokounmpo,MIL,[],[],"{'pts': 12.051722526550291, 'reb': 4.415359020233154, 'ast': 2.4249088764190674, 'threes': 0.9562951922416688, 'pra': 18.7510929107666}"
Tyrese Proctor,CLE,[],[],"{'pts': 9.062211036682127, 'reb': 3.4738240242004395, 'ast': 2.289074420928955, 'threes': 1.1162559986114502, 'pra': 14.684211730957031}"
VJ Edgecombe,PHI,[],[],"{'pts': 8.203303810119628, 'reb': 5.799122375713002, 'ast': 3.073345146153565, 'threes': 0.8838326077424622, 'pra': 17.66640078100586}"
Walter Clayton Jr.,UTA,[],[],"{'pts': 12.174017392672026, 'reb': 3.6959033012390137, 'ast': 3.772026538848877, 'threes': 1.355650444001465, 'pra': 18.69335717421312}"
Will Richard,GSW,[],[],"{'pts': 9.166707038879396, 'reb': 4.531805515289307, 'ast': 1.849191784858704, 'threes': 1.3575230368546076, 'pra': 14.65680694580078}"
Will Riley,WAS,[],[],"{'pts': 11.538019180297852, 'reb': 4.545938014984131, 'ast': 2.6321582794189453, 'threes': 0.8928051590919495, 'pra': 18.5752182006836}"
Yang Hansen,POR,[],[],"{'pts': 11.650378227233888, 'reb': 5.185449600219727, 'ast': 2.727813243865967, 'threes': 0.6361002326011658, 'pra': 19.42274475097656}"
Yanic Konan Niederhäuser,LAC,[],[],"{'pts': 12.32212257385254, 'reb': 4.96353816986084, 'ast': 2.2183799743652344, 'threes': 0.9998986124992372, 'pra': 19.36314392089844}"
