date,game_id,player_id,player_name,team_abbr,pts,reb,ast,threes,stl,blk,tov,pra
2026-03-20,0022501020,1631321,Sidy Cissoko,POR,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2026-03-20,0022501021,1629661,Cameron Johnson,DEN,6.0,5.0,2.0,0.0,2.0,0.0,1.0,13.0
2026-03-20,0022501021,203932,Aaron Gordon,DEN,16.0,5.0,3.0,1.0,0.0,1.0,1.0,24.0
2026-03-20,0022501021,203999,Nikola Jokić,DEN,22.0,8.0,9.0,1.0,1.0,1.0,2.0,39.0
2026-03-20,0022501021,1631128,Christian Braun,DEN,11.0,4.0,2.0,1.0,0.0,0.0,1.0,17.0
2026-03-20,0022501021,1627750,Jamal Murray,DEN,31.0,5.0,6.0,2.0,1.0,0.0,1.0,42.0
2026-03-20,0022501021,203501,Tim Hardaway Jr.,DEN,23.0,4.0,0.0,7.0,1.0,0.0,2.0,27.0
2026-03-20,0022501021,1642461,Spencer Jones,DEN,0.0,3.0,4.0,0.0,0.0,0.0,0.0,7.0
2026-03-20,0022501021,1628971,Bruce Brown,DEN,12.0,3.0,0.0,2.0,0.0,0.0,2.0,15.0
2026-03-20,0022501021,1626145,Tyus Jones,DEN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-20,0022501021,1627742,Brandon Ingram,TOR,19.0,5.0,2.0,1.0,0.0,0.0,3.0,26.0
2026-03-20,0022501021,1630567,Scottie Barnes,TOR,15.0,8.0,8.0,1.0,2.0,2.0,2.0,31.0
2026-03-20,0022501021,1627751,Jakob Poeltl,TOR,23.0,11.0,2.0,0.0,2.0,0.0,0.0,36.0
2026-03-20,0022501021,1629628,RJ Barrett,TOR,18.0,5.0,2.0,1.0,0.0,1.0,3.0,25.0
2026-03-20,0022501021,1630193,Immanuel Quickley,TOR,15.0,4.0,8.0,3.0,3.0,0.0,1.0,27.0
2026-03-20,0022501021,1630572,Sandro Mamukelashvili,TOR,4.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0
2026-03-20,0022501021,1642266,Ja'Kobe Walter,TOR,14.0,2.0,2.0,4.0,1.0,1.0,0.0,18.0
2026-03-20,0022501021,1642347,Jamal Shead,TOR,4.0,2.0,5.0,0.0,0.0,0.0,1.0,11.0
2026-03-20,0022501021,1642419,Jamison Battle,TOR,3.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0
