start,end,sort_by,top_n_per_day,top_n_per_game,min_ev,min_edge,bookmaker,dedupe_best_book,include_dd_td,include_stats,exclude_stats,bets_total,bets_graded,wins,losses,pushes,hit_rate,profit,roi_per_bet
2025-12-25,2026-01-23,ev,8,,0.5,0.04,,True,False,threes,,161,158,62,96,0,0.3924050632911392,8.42934134401424,0.0533502616709762
2025-12-25,2026-01-23,ev,8,,0.5,,,True,False,threes,,161,158,62,96,0,0.3924050632911392,8.42934134401424,0.0533502616709762
2025-12-25,2026-01-23,ev,8,,0.5,0.02,,True,False,threes,,161,158,62,96,0,0.3924050632911392,8.42934134401424,0.0533502616709762
2025-12-25,2026-01-23,ev,5,,0.5,,,True,False,"pts,threes",,136,134,48,86,0,0.3582089552238806,8.06,0.060149253731343284
2025-12-25,2026-01-23,ev,5,,0.5,0.02,,True,False,"pts,threes",,136,134,48,86,0,0.3582089552238806,8.06,0.060149253731343284
2025-12-25,2026-01-23,ev,5,,0.5,0.04,,True,False,"pts,threes",,136,134,48,86,0,0.3582089552238806,8.06,0.060149253731343284
2025-12-25,2026-01-23,ev,5,,0.5,0.04,,True,False,,,140,136,49,87,0,0.3602941176470588,8.039999999999996,0.0591176470588235
2025-12-25,2026-01-23,ev,5,,0.5,0.02,,True,False,,,140,136,49,87,0,0.3602941176470588,8.039999999999996,0.0591176470588235
2025-12-25,2026-01-23,ev,5,,0.5,,,True,False,,,140,136,49,87,0,0.3602941176470588,8.039999999999996,0.0591176470588235
2025-12-25,2026-01-23,ev,12,,0.5,,,True,False,"pts,threes",,300,293,105,188,0,0.3583617747440273,7.816117900790795,0.026676170309866194
2025-12-25,2026-01-23,ev,12,,0.5,0.04,,True,False,"pts,threes",,300,293,105,188,0,0.3583617747440273,7.816117900790795,0.026676170309866194
2025-12-25,2026-01-23,ev,12,,0.5,0.02,,True,False,"pts,threes",,300,293,105,188,0,0.3583617747440273,7.816117900790795,0.026676170309866194
2025-12-25,2026-01-23,ev,5,,0.5,,,True,False,threes,,121,120,45,75,0,0.375,7.719999999999999,0.06433333333333333
2025-12-25,2026-01-23,ev,5,,0.5,0.04,,True,False,threes,,121,120,45,75,0,0.375,7.719999999999999,0.06433333333333333
